wiki_header,class,key_1,key_2
プロトン化水素分子,4,r_01_プロトン化水素分子_平易化.xlsx,r_02_プロトン化水素分子_平易化.xlsx
ポーツマス条約,2,r_01_ポーツマス条約_平易化.xlsx,r_02_ポーツマス条約_平易化.xlsx
名古屋環状2号線,5,r_01_名古屋環状2号線_平易化.xlsx,r_02_名古屋環状2号線_平易化.xlsx
すきやき (ふりかけ),5,r_01_すきやき (ふりかけ)_平易化.xlsx,r_02_すきやき (ふりかけ)_平易化.xlsx
シネマトグラフ,7,r_01_シネマトグラフ_平易化.xlsx,r_02_シネマトグラフ_平易化.xlsx
恒藤規隆,2,r_01_恒藤規隆_平易化.xlsx,r_02_恒藤規隆_平易化.xlsx
ウデヘ,3,r_01_ウデヘ_平易化.xlsx,r_02_ウデヘ_平易化.xlsx
伊勢暴動,2,r_01_伊勢暴動_平易化.xlsx,r_02_伊勢暴動_平易化.xlsx
グレートバリアリーフ,2,r_01_グレートバリアリーフ_平易化.xlsx,r_02_グレートバリアリーフ_平易化.xlsx
交響曲第5番 (チャイコフスキー),7,r_01_交響曲第5番 (チャイコフスキー)_平易化.xlsx,r_02_交響曲第5番 (チャイコフスキー)_平易化.xlsx
バラク・オバマの広島訪問,2,r_01_バラク・オバマの広島訪問_平易化.xlsx,r_02_バラク・オバマの広島訪問_平易化.xlsx
箒川鉄橋列車転落事故,6,r_01_箒川鉄橋列車転落事故_平易化.xlsx,r_02_箒川鉄橋列車転落事故_平易化.xlsx
ロバート・ピール,2,r_01_ロバート・ピール_平易化.xlsx,r_02_ロバート・ピール_平易化.xlsx
海王星の環,4,r_01_海王星の環_平易化.xlsx,r_02_海王星の環_平易化.xlsx
チューレ空軍基地米軍機墜落事故,3,r_01_チューレ空軍基地米軍機墜落事故_平易化.xlsx,r_02_チューレ空軍基地米軍機墜落事故_平易化.xlsx
DNAナノテクノロジー,5,r_01_DNAナノテクノロジー_平易化.xlsx,r_02_DNAナノテクノロジー_平易化.xlsx
デビッド・ロイド・ジョージ,2,r_01_デビッド・ロイド・ジョージ_平易化.xlsx,r_02_デビッド・ロイド・ジョージ_平易化.xlsx
エストニアの国籍,3,r_01_エストニアの国籍_平易化.xlsx,r_02_エストニアの国籍_平易化.xlsx
出石神社,1,r_01_出石神社_平易化.xlsx,r_02_出石神社_平易化.xlsx
イギリス東インド会社,2,r_01_イギリス東インド会社_平易化.xlsx,r_02_イギリス東インド会社_平易化.xlsx
オードリー・ヘプバーン,7,r_01_オードリー・ヘプバーン_平易化.xlsx,r_02_オードリー・ヘプバーン_平易化.xlsx
市川雷蔵 (8代目),7,s_01_市川雷蔵 (8代目)_平易化.xlsx,s_02_市川雷蔵 (8代目).xlsx
ウルグ・ベク,2,r_01_ウルグ・ベク_平易化.xlsx,r_02_ウルグ・ベク_平易化.xlsx
フリッツ・ハーバー,2,s_01_フリッツ・ハーバー_平易化.xlsx,s_02_フリッツ・ハーバー_平易化.xlsx
カーリル,0,r_01_カーリル_平易化.xlsx,r_02_カーリル_平易化.xlsx
ニュージーランド航空901便エレバス山墜落事故,5,r_01_ニュージーランド航空901便エレバス山墜落事故_平易化.xlsx,r_02_ニュージーランド航空901便エレバス山墜落事故_平易化.xlsx
名張牛汁,5,r_01_名張牛汁_平易化.xlsx,r_02_名張牛汁_平易化.xlsx
こまねこまつり,3,r_01_こまねこまつり_平易化.xlsx,r_02_こまねこまつり_平易化.xlsx
